,Unnamed: 0,time,input,ticks,velocity,position,time_diff,position_diff,calculated_velocity,noisy_velocity,window_2,window_4,window_6,window_8
5220,5220,1630.7901525,-6800,-22464,-83.30402307696528,-893.7931034482759,0.010035990000005768,-0.8355437665783256,-83.25474283830947,-83.07626533439095,-84.94317082533355,-83.49836345934028,-84.4576754302654,-84.04258332973521
5221,5221,1630.800224272,-6790,-22485,-82.94481521110451,-894.6286472148541,0.010071771999946577,-0.8355437665782119,-82.9589635848234,-82.95761854836147,-83.01694194137625,-83.78927670226764,-83.77178369662498,-83.57977445395301
5222,5222,1630.810304116,-6780,-22505,-78.9550496056422,-895.4244031830239,0.010079844000074445,-0.7957559681697148,-78.9452662326756,-78.96775153825509,-80.96268504330831,-82.9529279343209,-82.65313732066294,-83.58392783352612
5223,5223,1630.820371824,-6770,-22526,-82.98643409856925,-896.2599469496022,0.01006770799995138,-0.8355437665783256,-82.99245136851016,-83.08533057665541,-81.02654105745528,-82.02174149941573,-82.8683648206635,-83.08547303683254
5224,5224,1630.830590053,-6760,-22547,-81.76492670760139,-897.0954907161804,0.010218228999974599,-0.8355437665782119,-81.7699198736189,-81.47635408338613,-82.28084233002079,-81.62176368666452,-82.72889939955418,-82.56006357300241
5225,5225,1630.840633439,-6750,-22568,-83.19645717938255,-897.9310344827587,0.010043386000006649,-0.8355437665783256,-83.19343362664469,-83.30076642986698,-82.38856025662659,-81.7075506570409,-82.14401441848601,-82.74841367965426
5226,5226,1630.850745105,-6740,-22589,-82.64314507664851,-898.7665782493368,0.010111666000057085,-0.8355437665780983,-82.63166194110657,-82.67454673366719,-82.98765658176711,-82.63424945589392,-82.07706131836538,-82.7935886951074
5227,5227,1630.860773179,-6730,-22609,-79.35282170494769,-899.5623342175066,0.010028074000047127,-0.7957559681698285,-79.3528217049544,-79.31123802132579,-80.99289237749652,-81.69072631706152,-81.4693312305261,-81.85623390823862
5228,5228,1630.870863857,-6720,-22631,-86.75462913210778,-900.4376657824934,0.010090677999869513,-0.875331564986709,-86.74655607859337,-86.68653478201894,-82.9988864016724,-82.99327149171972,-82.75579510448675,-82.30751758919213
5229,5229,1630.880955055,-6710,-22652,-82.77576299835977,-901.2732095490717,0.010091198000054646,-0.8355437665783256,-82.79926393018955,-82.70347072466798,-84.69500275334349,-82.84394756541997,-82.69215179582217,-82.27574911123044
5230,5230,1630.891043336,-6700,-22673,-82.84116394167673,-902.1087533156499,0.01008828099998027,-0.8355437665782119,-82.82320512085717,-82.64244427008025,-82.67295749737414,-82.83592194952324,-82.88650016027118,-82.73508570270859
5231,5231,1630.901104795,-6690,-22695,-87.0020784119693,-902.9840848806366,0.010061459000098694,-0.875331564986709,-86.9984725851512,-86.94785681960514,-84.79515054484273,-84.74507664909308,-83.49434855856089,-83.2179014830773
5232,5232,1630.91116266,-6680,-22716,-83.0783956055058,-903.8196286472149,0.010057864999907906,-0.8355437665783256,-83.07367086215376,-83.17927394215043,-85.0635653808778,-83.86826143912594,-83.57846975997477,-83.43076646542283
5233,5233,1630.921206672,-6670,-22737,-83.18782613848721,-904.655172413793,0.010044011999980285,-0.8355437665780983,-83.18824853850616,-83.21394305101833,-83.19660849658442,-83.99587952071354,-84.22892059825683,-83.41991354306676
